planet_name,NOBS,REF,RMS,URL
HD 159243 c,,Moutou 2013,,http://adsabs.harvard.edu/abs/2013arXiv1311.5271M
HD 159868 b,47.0,Wittenmyer 2012,6.7,http://adsabs.harvard.edu/abs/2012ApJ...753..169W
HD 159868 c,28.0,Wittenmyer 2012,4.08,http://adsabs.harvard.edu/abs/2012ApJ...753..169W
HD 160508 b,,,,
HD 16141 b,71.0,Butler 2006,3.7,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 16175 b,42.0,Peek 2009,9.0,http://adsabs.harvard.edu/abs/2009PASP..121..613P
HD 162020 b,30.0,Udry 2002,8.1,http://adsabs.harvard.edu/abs/2002A%26A...390..267U
HD 163607 b,51.0,Giguere 2012,2.9,http://adsabs.harvard.edu/abs/2012ApJ...744....4G
HD 163607 c,51.0,Giguere 2012,2.9,http://adsabs.harvard.edu/abs/2012ApJ...744....4G
HD 16417 b,88.0,O'Toole 2009,2.6,http://adsabs.harvard.edu/abs/2009ApJ...697.1263O
HD 164509 b,41.0,Giguere 2012,4.9,http://adsabs.harvard.edu/abs/2012ApJ...744....4G
HD 164604 b,18.0,Arriagada 2010,7.5,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A
HD 164922 b,64.0,Butler 2006,3.7,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 164922 c,,,,
HD 166724 b,,,,
HD 167042 b,,Bowler 2010,,http://adsabs.harvard.edu/abs/2010ApJ...709..396B
HD 168443 b,130.0,Pilyavsky 2011 (corrected: priv. comm.),3.9,http://adsabs.harvard.edu/abs/2011ApJ...743..162P
HD 168443 c,130.0,Pilyavsky 2011 (corrected: priv. comm.),3.9,http://adsabs.harvard.edu/abs/2011ApJ...743..162P
HD 168746 b,16.0,Butler 2006,3.9,http://adsabs.harvard.edu/abs/2006ApJ...646..505B
HD 1690 b,42.0,Moutou 2011,29.0,http://adsabs.harvard.edu/abs/2011A%26A...527A..63M
HD 169830 b,112.0,Mayor 2004,8.9,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 169830 c,112.0,Mayor 2004,8.9,http://adsabs.harvard.edu/abs/2004A%26A...415..391M
HD 170469 b,35.0,Fischer 2007,4.18,http://adsabs.harvard.edu/abs/2007ApJ...669.1336F
HD 17092 b,,Niedzielski 2007,,http://adsabs.harvard.edu/abs/2007ApJ...669.1354N
HD 171028 b,48.0,Santos 2011,2.3,http://adsabs.harvard.edu/abs/2011A%26A...526A.112S
HD 171238 b,96.0,Segransan 2010,10.25,http://adsabs.harvard.edu/abs/2010A%26A...511A..45S
HD 17156 b,33.0,Barbieri 2009,3.97,http://adsabs.harvard.edu/abs/2009A%26A...503..601B
HD 173416 b,52.0,Liu 2009,18.5,http://adsabs.harvard.edu/abs/2009RAA.....9....1L
HD 175167 b,13.0,Arriagada 2010,6.91,http://adsabs.harvard.edu/abs/2010ApJ...711.1229A
HD 175541 b,29.0,Johnson 2007,5.6,http://adsabs.harvard.edu/abs/2007ApJ...665..785J
HD 175607 b,,,,
